Date,AveragePrice,Small Hass,Large Hass,XL Hass,Small Bags,Large Bags,XLarge Bags,Type,Year,Region
27/12/2015,1.33,1036.74,54454.85,48.16,8603.62,93.25,0,conventional,2015,Albany
20/12/2015,1.35,674.28,44638.81,58.33,9408.07,97.49,0,conventional,2015,Albany
13/12/2015,0.93,794.7,109149.67,130.5,8042.21,103.14,0,conventional,2015,Albany
6/12/2015,1.08,1132,71976.41,72.58,5677.4,133.76,0,conventional,2015,Albany
29/11/2015,1.28,941.48,43838.39,75.78,5986.26,197.69,0,conventional,2015,Albany
22/11/2015,1.26,1184.27,48067.99,43.61,6556.47,127.44,0,conventional,2015,Albany
15/11/2015,0.99,1368.92,73672.72,93.26,8196.81,122.05,0,conventional,2015,Albany
8/11/2015,0.98,703.75,101815.36,80,6266.85,562.37,0,conventional,2015,Albany
1/11/2015,1.02,1022.15,87315.57,85.34,11104.53,283.83,0,conventional,2015,Albany
25/10/2015,1.07,842.4,64757.44,113,8061.47,564.45,0,conventional,2015,Albany
18/10/2015,1.12,924.86,75595.85,117.07,7877.86,327.8,0,conventional,2015,Albany
11/10/2015,1.28,1582.03,52677.92,105.32,9866.27,257.63,0,conventional,2015,Albany
4/10/2015,1.31,2268.32,49880.67,101.36,8379.98,376.77,0,conventional,2015,Albany
27/09/2015,0.99,1204.88,99409.21,154.84,5888.87,145.59,0,conventional,2015,Albany
20/09/2015,1.33,1028.03,59313.12,150.5,8489.1,778.26,0,conventional,2015,Albany
13/09/2015,1.28,985.73,65696.86,142,8665.19,621.49,0,conventional,2015,Albany
6/9/2015,1.11,879.45,90062.62,240.79,7762.87,227.23,0,conventional,2015,Albany
30/08/2015,1.07,689.01,94362.67,335.43,10218.93,87.8,0,conventional,2015,Albany
23/08/2015,1.34,733.16,67933.79,444.78,10745.79,134.57,0,conventional,2015,Albany
16/08/2015,1.33,539.65,68666.01,394.9,10297.68,145.54,0,conventional,2015,Albany
9/8/2015,1.12,584.63,100961.46,368.95,9116.34,109.55,0,conventional,2015,Albany
2/8/2015,1.45,509.94,62035.06,741.08,11768.52,78.5,0,conventional,2015,Albany
26/07/2015,1.11,648.75,91949.05,966.61,13061.53,131.16,0,conventional,2015,Albany
19/07/2015,1.26,1042.1,82049.4,2238.02,11103.49,183.99,0,conventional,2015,Albany
12/7/2015,1.05,672.25,94693.52,4257.64,24290.08,108.49,33.33,conventional,2015,Albany
5/7/2015,1.35,869.45,72600.55,5883.16,29663.19,235.77,0,conventional,2015,Albany
28/06/2015,1.37,664.23,57545.79,4662.71,26311.76,350.32,0,conventional,2015,Albany
21/06/2015,1.27,804.01,76688.55,5481.18,21662,213.65,0,conventional,2015,Albany
14/06/2015,1.32,850.58,55400.94,4377.19,28343.14,659.45,0,conventional,2015,Albany
7/6/2015,1.07,656.71,99220.82,90.32,22314.99,460.22,0,conventional,2015,Albany
31/05/2015,1.23,922.37,70469.69,50.55,23222.49,458.52,0,conventional,2015,Albany
24/05/2015,1.19,680.27,71376.81,58.7,28761.81,593.32,0,conventional,2015,Albany
17/05/2015,1.43,1150.55,81955.16,94.32,26285.43,372.01,0,conventional,2015,Albany
10/5/2015,1.26,1420.43,102000.52,185.66,16535.55,285.75,0,conventional,2015,Albany
3/5/2015,1.2,919.87,45490.05,217.24,12201.95,368.56,0,conventional,2015,Albany
26/04/2015,1.22,875.65,35841.75,89.62,12076.83,701.61,0,conventional,2015,Albany
19/04/2015,1.19,774.15,33941.51,47.15,13602.97,698.95,0,conventional,2015,Albany
12/4/2015,1.13,864.27,30374.15,21.5,16438.49,665.88,0,conventional,2015,Albany
5/4/2015,1.16,961.77,35577.66,93.76,9869.16,755.61,104.17,conventional,2015,Albany
29/03/2015,1.02,1402.28,58623.22,89.5,7208.49,475.59,0,conventional,2015,Albany
22/03/2015,1.12,2141.83,34313.56,141.8,9252.6,497.06,0,conventional,2015,Albany
15/03/2015,1.11,2128.26,30447.17,99.67,9989.59,381.1,0,conventional,2015,Albany
8/3/2015,1.07,795.68,30370.64,159.05,8827.55,354.44,0,conventional,2015,Albany
1/3/2015,0.99,629.46,45633.34,181.49,8986.06,165.39,0,conventional,2015,Albany
22/02/2015,1.07,1088.38,35056.13,151,9000.16,379.38,0,conventional,2015,Albany
15/02/2015,1.06,986.66,30045.51,222.42,9979.87,333.16,0,conventional,2015,Albany
8/2/2015,0.99,1357.37,39111.81,163.25,10113.1,508.44,0,conventional,2015,Albany
1/2/2015,0.99,1353.9,60017.2,179.32,9170.82,152.36,0,conventional,2015,Albany
25/01/2015,1.06,941.38,33196.16,164.14,10103.35,742.47,0,conventional,2015,Albany
18/01/2015,1.17,914.14,31540.32,135.77,11651.09,269.96,0,conventional,2015,Albany
11/1/2015,1.24,1002.85,31640.34,127.12,8036.04,388.73,0,conventional,2015,Albany
4/1/2015,1.22,2819.5,28287.42,49.9,9186.93,529.53,0,conventional,2015,Albany
27/12/2015,0.99,292097.36,27350.92,297.9,48605.95,17748.36,0,conventional,2015,Atlanta
20/12/2015,1.08,251774.15,20702.45,103.06,46930.26,11867.61,0,conventional,2015,Atlanta
13/12/2015,0.96,324932.28,31019.08,275.8,38903.57,22628.21,13.53,conventional,2015,Atlanta
6/12/2015,1.07,283024.01,23740.85,181.92,37032.67,13654.66,2.71,conventional,2015,Atlanta
29/11/2015,0.99,250288.65,28889.63,307.83,33031.72,20738.55,24.41,conventional,2015,Atlanta
22/11/2015,1,269799.03,29732.3,501.16,36992.3,19389.78,0,conventional,2015,Atlanta
15/11/2015,1.13,263915.78,28442.45,455.97,33656.42,13390.06,0,conventional,2015,Atlanta
8/11/2015,1.12,250441.38,34483.33,488.24,35662.93,12941.12,24.6,conventional,2015,Atlanta
1/11/2015,0.99,290457.5,62980.07,252.79,39460.77,25929.39,8.22,conventional,2015,Atlanta
25/10/2015,1.09,236814.29,64607.97,304.36,31826.88,24924.58,0,conventional,2015,Atlanta
18/10/2015,1.09,228710.28,59731.79,291.22,36884.35,23454.84,0,conventional,2015,Atlanta
11/10/2015,0.95,255933.32,91047.32,599.71,41159.96,45134.15,0,conventional,2015,Atlanta
4/10/2015,0.96,265797.09,92780.33,644.43,14875.64,44584.77,0,conventional,2015,Atlanta
27/09/2015,1.07,262107.44,61870.63,680.8,20533.87,25125.65,2.78,conventional,2015,Atlanta
20/09/2015,0.93,346118.51,82762.72,1349.41,33698.43,52442.25,61.28,conventional,2015,Atlanta
13/09/2015,1.07,278048.26,62485.97,714.93,46290.32,29678.76,13.94,conventional,2015,Atlanta
6/9/2015,0.97,303113.24,73675.85,911.25,49833.55,44549.67,52.97,conventional,2015,Atlanta
30/08/2015,1.15,275818.27,44839.12,1034.09,47138.07,14112.5,30.67,conventional,2015,Atlanta
23/08/2015,1.12,274462.42,46223.69,950.09,45534.11,11883.98,0,conventional,2015,Atlanta
16/08/2015,1.09,362579.51,41992.44,1424.96,45068.25,14148.65,0,conventional,2015,Atlanta
9/8/2015,1.01,385027.71,47040.07,4251.74,45820.45,21568.48,83.27,conventional,2015,Atlanta
2/8/2015,1.15,306587.86,41906.78,3515.48,42126.47,11720.3,41.55,conventional,2015,Atlanta
26/07/2015,1.08,335372.02,44087.07,708,45114.22,12096.44,0,conventional,2015,Atlanta
19/07/2015,0.97,446100.17,47838.42,1982.03,45099.87,16192.5,0,conventional,2015,Atlanta
